dim,30,sampling,30,concurrency,10
count,1,2,3,
time(ms),17089,17228,17906,
time1(ms),5399.67,5403.32,5741.36,
time2(ms),11679.3,11814.7,12154,
time3(ms),5.099,5.237,5.469,
num_sample,388,380,399,
loop,1909,1877,1877,
norm,2.29271e+06,2.29271e+06,2.29521e+06,
dim,30,sampling,30,concurrency,20
count,1,2,3,
time(ms),22015,23470,23423,
time1(ms),5476.85,5818.76,5640.96,
time2(ms),16526.9,17638.7,17769.8,
time3(ms),6.398,7.267,6.882,
num_sample,378,396,386,
loop,1892,1996,1980,
norm,2.29271e+06,2.29521e+06,2.29521e+06,
dim,30,sampling,30,concurrency,40
count,1,2,3,
time(ms),32279,33873,33149,
time1(ms),5756.58,5841.23,5701.11,
time2(ms),26510.2,28019,27435.4,
time3(ms),6.199,6.737,7.152,
num_sample,386,392,374,
loop,1929,2006,1900,
norm,2.29271e+06,2.29271e+06,2.29521e+06,
dim,30,sampling,30,concurrency,80
count,1,2,3,
time(ms),48575,47171,46029,
time1(ms),5768.95,6376.59,5863.96,
time2(ms),42792.5,40781.6,40153,
time3(ms),7.541,6.526,6.711,
num_sample,390,388,389,
loop,2025,1934,2025,
norm,2.29521e+06,2.29271e+06,2.29521e+06,
dim,30,sampling,30,concurrency,160
count,1,2,3,
time(ms),64895,67263,66317,
time1(ms),5581.29,5821.55,5659.8,
time2(ms),59301.3,61428.5,60644.2,
time3(ms),6.416,7.059,6.971,
num_sample,378,391,382,
loop,1918,1993,1912,
norm,2.29521e+06,2.29521e+06,2.29521e+06,


