dim,30,sampling,10,concurrency,12
count,1,2,3,
time(ms),34598,34818,35868,
time1(ms),5372.75,5457.24,5811.61,
time2(ms),29205.3,29340.3,30035.1,
time3(ms),6.077,6.132,6.599,
num_sample,375,370,376,
loop,5870,5703,5634,
norm,2.29521e+06,2.29521e+06,2.29521e+06,
dim,30,sampling,20,concurrency,12
count,1,2,3,
time(ms),22910,23592,24365,
time1(ms),5566.34,5892.18,6257.09,
time2(ms),17330.5,17686.6,18093.7,
time3(ms),6.334,6.502,6.553,
num_sample,368,386,402,
loop,2813,2854,2903,
norm,2.29271e+06,2.29271e+06,2.29271e+06,
dim,30,sampling,40,concurrency,12
count,1,2,3,
time(ms),19044,19323,19234,
time1(ms),6084.24,6115.47,6033.85,
time2(ms),12949.6,13196.9,13189.2,
time3(ms),6.2,6.886,6.645,
num_sample,403,401,396,
loop,1517,1518,1529,
norm,2.29271e+06,2.29271e+06,2.29271e+06,
dim,30,sampling,80,concurrency,12
count,1,2,3,
time(ms),19236,19309,18916,
time1(ms),6540.98,6925.53,6711.79,
time2(ms),12687.6,12375.9,12197.2,
time3(ms),6.027,5.818,5.847,
num_sample,434,459,443,
loop,795,804,795,
norm,2.29271e+06,2.29271e+06,2.29271e+06,
dim,30,sampling,160,concurrency,12
count,1,2,3,
time(ms),25554,25990,26043,
time1(ms),8085.18,8102.39,8116.26,
time2(ms),17463,17880.3,17920.4,
time3(ms),5.097,6.01,5.306,
num_sample,533,537,537,
loop,435,444,446,
norm,2.29521e+06,2.29271e+06,2.29271e+06,
